video_id	status	error
mBGp2SJdwb0	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
a_mkJI0aJ20	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
beRNhUkt_mU	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
7_4w8gyOdzk	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
Od99GKlcEB4	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
cA0b3f2Ne28	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
II2dKoOFeb4	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
rNxm5Xtp6qI	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
kJeOC3wBrkE	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
zfsYvyzg8T4	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
3a-QJu1J2Ms	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
Gq4RroXvZgk	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
wWuFC-HT8bA	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
DEppNfkNHIY	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
FimkiTQKH-k	NO_CAPTIONS_EXPOSED	No caption surface available.
TapNP687Qeo	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
sa-G1aQJh2s	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
UOS8hvMv8r8	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
mmU__lMogCA	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
64ey0jGRDVY	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
YBYL2Ssy6SA	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
fS6AklkrPbw	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
eVMTKbmmqjo	BLOCKED_AUTO_CAPTIONS_ONLY	No manual subtitles exposed. Automatic captions available but blocked.
