"Group","Position","VideoId","Title","Url","Uploader","Channel","DurationSeconds","UploadDate","ManualCaptionLanguages","AutomaticCaptionLanguages","CaptionSource","Status","CaptionFile","TimedTranscript","CleanTranscript","Folder","Error"
"SERIES","01/13","mBGp2SJdwb0","Passage Rewind: America's Assignment Part 1","https://www.youtube.com/watch?v=mBGp2SJdwb0","Mercy Hunter","Mercy Hunter","382","20211119","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_01_13__mBGp2SJdwb0__Passage Rewind_ America's Assignment Part 1","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","02/13","a_mkJI0aJ20","Passage Rewind: Americas Assignment Part 2","https://www.youtube.com/watch?v=a_mkJI0aJ20","Mercy Hunter","Mercy Hunter","448","20211202","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_02_13__a_mkJI0aJ20__Passage Rewind_ Americas Assignment Part 2","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","03/13","beRNhUkt_mU","Passage Rewind: America's Assignment Part 3","https://www.youtube.com/watch?v=beRNhUkt_mU","Mercy Hunter","Mercy Hunter","471","20211212","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_03_13__beRNhUkt_mU__Passage Rewind_ America's Assignment Part 3","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","04/13","7_4w8gyOdzk","Passage Rewind: America's Assignment Part 4","https://www.youtube.com/watch?v=7_4w8gyOdzk","Mercy Hunter","Mercy Hunter","536","20211220","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_04_13__7_4w8gyOdzk__Passage Rewind_ America's Assignment Part 4","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","05/13","Od99GKlcEB4","Passage Rewind: America's Assignment Part 5","https://www.youtube.com/watch?v=Od99GKlcEB4","Mercy Hunter","Mercy Hunter","545","20220108","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_05_13__Od99GKlcEB4__Passage Rewind_ America's Assignment Part 5","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","06/13","cA0b3f2Ne28","Passage Rewind: America's Assignment Part 6","https://www.youtube.com/watch?v=cA0b3f2Ne28","Mercy Hunter","Mercy Hunter","474","20220115","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_06_13__cA0b3f2Ne28__Passage Rewind_ America's Assignment Part 6","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","07/13","II2dKoOFeb4","Passage Rewind: America's Assignment Part 7","https://www.youtube.com/watch?v=II2dKoOFeb4","Mercy Hunter","Mercy Hunter","560","20220126","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_07_13__II2dKoOFeb4__Passage Rewind_ America's Assignment Part 7","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","08/13","rNxm5Xtp6qI","Passage Rewind: America's Assignment Part 8","https://www.youtube.com/watch?v=rNxm5Xtp6qI","Mercy Hunter","Mercy Hunter","598","20220205","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_08_13__rNxm5Xtp6qI__Passage Rewind_ America's Assignment Part 8","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","09/13","kJeOC3wBrkE","Passage Rewind: America's Assignment Part 9","https://www.youtube.com/watch?v=kJeOC3wBrkE","Mercy Hunter","Mercy Hunter","458","20220226","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_09_13__kJeOC3wBrkE__Passage Rewind_ America's Assignment Part 9","No manual subtitles exposed. Automatic captions available but blocked."
"SERIES","10/13","zfsYvyzg8T4","Passage Rewind: America's Assignment Part 10","https://www.youtube.com/watch?v=zfsYvyzg8T4","Mercy Hunter","Mercy Hunter","403","20220305","","ab;aa;af;ak;sq;am;ar;hy;as;ay;az;bn;ba;eu;be;bho;bs;br;bg;my;ca;ceb;zh-Hans;zh-Hant;co;hr;cs;da;dv;nl;dz;en-orig;en;eo;et;ee;fo;fj;fil;fi;fr;gaa;gl;lg;ka;de;el;gn;gu;ht;ha;haw;iw;hi;hmn;hu;is;ig;id;iu;ga;it;ja;jv;kl;kn;kk;kha;km;rw;ko;kri;ku;ky;lo;la;lv;ln;lt;lua;luo;lb;mk;mg;ms;ml;mt;gv;mi;mr;mn;mfe;ne;new;nso;no;ny;oc;or;om;os;pam;ps;fa;pl;pt;pt-PT;pa;qu;ro;rn;ru;sm;sg;sa;gd;sr;crs;sn;sd;si;sk;sl;so;st;es;su;sw;ss;sv;tg;ta;tt;te;th;bo;ti;to;ts;tn;tum;tr;tk;uk;ur;ug;uz;ve;vi;war;cy;fy;wo;xh;yi;yo;zu","YouTube automatic captions present only; not harvested per user no-auto boundary.","BLOCKED_AUTO_CAPTIONS_ONLY","","","","C:\Users\13527\Desktop\ESO\HALL_COOP_LEY\MEDIA\03_DROP_TARGET_FOLDERS\AUDIO_OR_TRANSCRIPTS\PASSAGE_REWIND_AMERICAS_ASSIGNMENT\PART_10_13__zfsYvyzg8T4__Passage Rewind_ America's Assignment Part 10","No manual subtitles exposed. Automatic captions available but blocked."
